,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
2030,40.9,2894.0,796.0,26688.0,18582.0,"Harmon County, Oklahoma",057,40,2013
2031,40.0,3710.0,543.0,46117.0,22675.0,"Harper County, Oklahoma",059,40,2013
2032,39.7,12849.0,2204.0,35334.0,18896.0,"Haskell County, Oklahoma",061,40,2013
2033,40.0,13838.0,2561.0,34619.0,18268.0,"Hughes County, Oklahoma",063,40,2013
2034,34.0,26280.0,4164.0,42824.0,22925.0,"Jackson County, Oklahoma",065,40,2013
2035,41.9,6457.0,1296.0,34701.0,19042.0,"Jefferson County, Oklahoma",067,40,2013
2036,39.8,10982.0,2356.0,36192.0,19967.0,"Johnston County, Oklahoma",069,40,2013
2037,39.0,46122.0,8187.0,41012.0,22207.0,"Kay County, Oklahoma",071,40,2013
2038,38.6,15069.0,1233.0,54666.0,25773.0,"Kingfisher County, Oklahoma",073,40,2013
2039,42.3,9389.0,2066.0,36281.0,23576.0,"Kiowa County, Oklahoma",075,40,2013
2040,39.5,11034.0,1768.0,40970.0,22603.0,"Latimer County, Oklahoma",077,40,2013
2041,39.3,50062.0,10812.0,36542.0,18141.0,"Le Flore County, Oklahoma",079,40,2013
2042,40.6,34238.0,5392.0,42668.0,21888.0,"Lincoln County, Oklahoma",081,40,2013
2043,37.0,42871.0,5458.0,53591.0,25620.0,"Logan County, Oklahoma",083,40,2013
2044,39.8,9496.0,1561.0,43260.0,19910.0,"Love County, Oklahoma",085,40,2013
2045,38.3,35155.0,4044.0,54426.0,25293.0,"McClain County, Oklahoma",087,40,2013
2046,38.8,33143.0,8480.0,31790.0,17615.0,"McCurtain County, Oklahoma",089,40,2013
2047,46.8,20358.0,4152.0,36096.0,19100.0,"McIntosh County, Oklahoma",091,40,2013
2048,43.0,7604.0,949.0,49905.0,27168.0,"Major County, Oklahoma",093,40,2013
2049,43.6,15860.0,2698.0,37319.0,19583.0,"Marshall County, Oklahoma",095,40,2013
2050,39.4,41110.0,7974.0,42751.0,20585.0,"Mayes County, Oklahoma",097,40,2013
2051,41.0,13571.0,1908.0,44151.0,21870.0,"Murray County, Oklahoma",099,40,2013
2052,37.7,70657.0,15280.0,38502.0,19868.0,"Muskogee County, Oklahoma",101,40,2013
2053,40.5,11529.0,1598.0,44842.0,21947.0,"Noble County, Oklahoma",103,40,2013
2054,41.9,10580.0,1714.0,39430.0,19256.0,"Nowata County, Oklahoma",105,40,2013
2055,40.3,12268.0,3193.0,35170.0,16528.0,"Okfuskee County, Oklahoma",107,40,2013
2056,34.2,732118.0,132490.0,45215.0,26561.0,"Oklahoma County, Oklahoma",109,40,2013
